Home,Away,Goals_home,Goals_away,First_goal_team,Winner
Carolina,NY Rangers,2,4,NY Rangers,NY Rangers
Ottawa,Los Angeles,3,2,Los Angeles,Ottawa
Chicago,Vancouver,5,2,Chicago,Chicago
Colorado,Nashville,9,4,Colorado,Colorado
Calgary,New Jersey,5,2,Calgary,Calgary
Arizona,Columbus,2,3,Arizona,Columbus
San Jose,Minnesota,6,5,San Jose,San Jose
Toronto,Vegas,2,1,Vegas,Toronto
Florida,Washington,4,5,Washington,Washington
NY Islanders,Pittsburgh,3,4,NY Islanders,Pittsburgh
Philadelphia,Montreal,3,2,Philadelphia,Philadelphia
Carolina,NY Rangers,2,4,NY Rangers,NY Rangers
Ottawa,Los Angeles,3,2,Los Angeles,Ottawa
Chicago,Vancouver,5,2,Chicago,Chicago
Colorado,Nashville,9,4,Colorado,Colorado
Calgary,New Jersey,5,2,Calgary,Calgary
Arizona,Columbus,2,3,Arizona,Columbus
San Jose,Minnesota,6,5,San Jose,San Jose
Buffalo,Tampa Bay,2,3,Buffalo,Tampa Bay
Detroit,Boston,4,2,Boston,Detroit
Winnipeg,Vancouver,4,1,Vancouver,Winnipeg
Edmonton,New Jersey,4,0,Edmonton,Edmonton
Buffalo,Tampa Bay,2,3,Buffalo,Tampa Bay
Detroit,Boston,4,2,Boston,Detroit
Winnipeg,Vancouver,4,1,Vancouver,Winnipeg
Edmonton,New Jersey,4,0,Edmonton,Edmonton
NY Islanders,Florida,2,1,Florida,NY Islanders
Tampa Bay,Buffalo,5,3,Tampa Bay,Tampa Bay
Toronto,Philadelphia,2,3,Toronto,Philadelphia
Montreal,Los Angeles,3,2,Montreal,Montreal
Ottawa,Carolina,4,1,Ottawa,Ottawa
Pittsburgh,Chicago,3,2,Chicago,Pittsburgh
Washington,Vegas,5,2,Washington,Washington
Arizona,Minnesota,3,4,Minnesota,Minnesota
Colorado,Columbus,4,2,Columbus,Colorado
Calgary,St Louis,2,3,St Louis,St Louis
San Jose,Nashville,2,1,Nashville,San Jose
NY Islanders,Florida,2,1,Florida,NY Islanders
Tampa Bay,Buffalo,5,3,Tampa Bay,Tampa Bay
Toronto,Philadelphia,2,3,Toronto,Philadelphia
Montreal,Los Angeles,3,2,Montreal,Montreal
Ottawa,Carolina,4,1,Ottawa,Ottawa
Pittsburgh,Chicago,3,2,Chicago,Pittsburgh
Washington,Vegas,5,2,Washington,Washington
Arizona,Minnesota,3,4,Minnesota,Minnesota
Colorado,Columbus,4,2,Columbus,Colorado
Calgary,St Louis,2,3,St Louis,St Louis
